intent	dialog
atis_flight	 show delta airlines flights from jfk to miami
atis_airfare	What is the cost of a one day trip from Detroit to St. Pete, Missouri?
atis_flight	 list flights from phoenix arizona to ontario california wednesday
atis_flight	 i would like to leave thursday morning from indianapolis to toronto
atis_flight	 show flights from minneapolis to kansas city
atis_flight	 saturday flight on american airlines from milwaukee to phoenix
atis_flight	 i need a flight departing from milwaukee to indianapolis leaving monday before 8 am
atis_flight	 what flights depart from baltimore and arrive at san francisco on a friday
atis_airline	Which airline is america?
atis_airline	What airline is our government?
atis_flight	 get flight from toronto to san diego stopping at dtw
atis_flight	 list all of the daily flights arriving in denver between 8 and 9 pm
atis_flight	 show me all the flights from charlotte to minneapolis that leave at 2 pm or later on monday
atis_flight	 how about a flight from milwaukee to st. louis that leaves monday night
atis_flight	 please list the flights from nashville to memphis on monday morning
atis_abbreviation	 what does fare code h mean
atis_ground_service	 is there ground transportation available at the salt lake city airport
atis_abbreviation	What does m mean?
atis_flight	 what are the flights between milwaukee and pittsburgh
atis_flight	 find a flight from tampa to montreal by way of new york
atis_flight	 list flights from newark to boston daily
atis_flight	 which flights leave newark after noon next saturday and arrive in los angeles
atis_ground_service	Does anyone want to get in Boston late night for ground transportation? How?
atis_airline	 what airline is hp
atis_flight	 baltimore to newark wednesday morning
atis_flight	 show me first class flights from new york to miami round trip
atis_flight	 what united airlines flights on june eighth go from westchester county to cincinnati
atis_flight	 i need flight information for flights departing from cleveland to milwaukee on wednesday after 5 pm
atis_airfare	What are the flights between Washington DC and Boston?
atis_ground_service	List ground transportation in baltimore.
atis_ground_service	Is there ground transportation from the memphis airport into town when i arrive at 842 in the morning?
atis_abbreviation	"What does the abbreviation ""us"" stand for?"
atis_airline	What airlines offer flights to and from Denver?
atis_flight	 show me the flights on american airlines which go from st. petersburg to ontario california by way of st. louis
atis_ground_service	How are the daily flights to Phoenix from Nashville to New York from there?
atis_airline	Is there a flight to Denver available with airline?
atis_abbreviation	What is the meaning of fare code y?
atis_flight	 list flights from ontario california to salt lake city utah monday
atis_flight	 please show me first class flights from indianapolis to memphis one way leaving before 10 am
atis_abbreviation	What do fare codes f mean?
atis_airfare	Best airfare from Indianapolis to Memphis first class economy class.
atis_flight	 i'd like to fly from miami to chicago on on american airlines arriving around 5 pm
atis_airline	What is the Dlc airlines?
atis_flight	 show me nonstop flights from st. petersburg to toronto
atis_ground_service	Is there ground transportation from GTA to New York City?
atis_flight	 can i get a flight on tuesday night from washington dc to oakland
atis_flight	 pittsburgh to los angeles thursday evening
atis_flight	 show me all flights from orlando to montreal please
atis_flight	 give me the flights from chicago to seattle on continental that have meals early saturday morning
atis_abbreviation	What is a d9s sensor?
atis_flight	 on june eighth what flights go from westchester county to cincinnati
atis_flight	 what is the earliest arriving flight from boston to washington dc
atis_ground_service	Does TATACOMA airport offer transportation to the downtown area?
atis_flight	 i want to book a flight from salt lake city to westchester county
atis_airline	What airlines fly between Salt Lake City and Seattle?
atis_flight	 find flight from memphis to cincinnati on sunday
atis_flight	 could i have flight information on flights from salt lake city to phoenix please
atis_flight	 list flights from pittsburgh to newark daily
atis_flight	 which flights depart from new york and arrive in los angeles after 10 am
atis_airfare	faqs get Saturday fares from washington to toronto, from saturdays. get saturday fares from san francisco.
atis_flight	 give me the flights and fares for a trip to cleveland from miami on wednesday
atis_airfare	 list first class airfare round trip from indianapolis to memphis
atis_airline	 i would like to have the airline that flies toronto detroit and st. louis
atis_airfare	How many seats are available from Las Vegas to Detroit?
atis_flight	 i need a flight from memphis to tacoma that goes through los angeles
atis_flight	 show me the flights between milwaukee and indiana
atis_flight	 monday morning i would like to fly from columbus to indianapolis
atis_flight	 list early morning flights from cincinnati to tampa
atis_abbreviation	What is fare code?
atis_flight	 please find a flight from ontario to westchester that makes a stop in chicago on may seventeenth one way with dinner
atis_flight	 on friday night i would like a flight from newark to los angeles
atis_airfare	 what is the lowest fare from bwi to salt lake city
atis_ground_service	What types of ground transportation are available in Denver?
atis_airline	 what airline flies from boston to san diego
atis_airfare	 get the saturday fare from washington to toronto
atis_flight	 find me all the flights from milwaukee to st. louis
atis_abbreviation	What does fare code f of U.S. Airlines mean?
atis_airfare	On my first visit i need a ticket from tacoma to san jose departing at 7 am. at the airport there are 3 flights. on the 6th i depart before 7 am. on the 27th it takes me five minutes less than scheduled. The ticket must be over 5 days.
atis_flight	 i would like flights from san francisco to long beach
atis_airfare	Show me the cheapest round trip fare from san francisco to houston on february twenty eighth 1994 - 1994. show me the best round trip fare from houston to san francisco or san francisco to houston on february twenty eighth 1994.
atis_flight	 i want a flight from los angeles to charlotte early in the morning
atis_airline	What are the airlines that fly out of Boston from Boston?
atis_airfare	I need a taxi from Seattle to Cleveland next morning. I want to get a flat rate taxi from miami to cleveland. give me the fares.
atis_flight	 list flights from pittsburgh to newark on monday morning
atis_flight	 which flights are available on april twenty first in the morning from nashville to tacoma
atis_flight	 show flights from kansas city to minneapolis
atis_abbreviation	What does a fare code mean?
atis_airline	What airlines fly from Tampa to San Francisco?
atis_ground_service	Now show me ground transportation that i could get in boston late night.
atis_airfare	How many airlines serviced Washington to Boston?
atis_flight	 list all flights from kansas city to cleveland
atis_abbreviation	What does the restriction AP58 means?
atis_airline	What are some flights between burbank, milwaukee and st. louis, and from st. louis to burbank?
atis_flight	 now show me all the flights from st. louis to burbank
atis_flight	 please find a flight from detroit michigan to st. petersburg arriving before 10 pm
atis_ground_service	I'll need to rent a car in washington DC. i can just drive around town or drive on the beach and drive to a nearby parking lot.
atis_flight	 monday morning flights from atlanta to kansas city
atis_flight	 list flights from ontario california to orlando
atis_airfare	How much airfare is $29 to get from Washington to Montréal?
atis_flight	 show me all the morning flights from philadelphia to fort worth
atis_flight	 list flights from milwaukee to detroit
atis_flight	 list flights from salt lake city to phoenix arizona tuesday
atis_airline	Show me airlines that have flights between Toledo and Detroit between Toledo and St. Louis. also between St. Louis and St. Louis.
atis_flight	 i need a flight from st. louis to charlotte
atis_ground_service	What is the best way to get from and/or from EWR to NY?
atis_ground_service	 what ground transportation is there in baltimore
atis_ground_service	 what ground transportation is available at denver
atis_abbreviation	What does a fare code mean?
atis_airline	Which airlines fly from Miami to San Francisco?
atis_flight	 find flight from cincinnati to san jose on monday
atis_abbreviation	What is fare code in m.rs?
atis_airfare	What is the cheapest fare from Charlotte to Las Vegas?
atis_flight	 list us air flights leaving saturday from charlotte airport around 1 pm
atis_flight	 what are the flights from cleveland to dallas
atis_flight	 st. petersburg to detroit
atis_airfare	How much would it cost to fly with TWA-Wisconsin from Denver to Chicago?
atis_abbreviation	"What does ""ap 57"" mean?"
atis_flight	 show me flights between toronto and san diego
atis_flight	 what flights arrive at love field on june sixth
atis_ground_service	So far in 2017 we have 226 operators of ground transportation in Las Vegas.
atis_flight	 memphis to las vegas sunday afternoon
atis_flight	 please list afternoon flights between st. petersburg and charlotte
atis_airfare	 get saturday fares from washington to toronto
atis_flight	 i need a flight from las vegas to ontario
atis_flight	 find flight from houston to memphis on friday
atis_airline	 which airline is us
atis_flight	 i want to fly from san francisco to milwaukee and from milwaukee to denver
atis_flight	 list direct flights from new york city to los angeles after 10 am
atis_airfare	Can anyone help me find the lowest price tickets from Jacksonville to Seattle on air.
atis_airfare	What's the fares from Miami-Cleveland for next day flights?
atis_ground_service	Would you take a taxi to the Tacoma airport?
atis_airline	Which airlines fly between Toronto and San Diego?
atis_ground_service	What is the best rail access from DCA to Washington D.C.?
atis_flight	 show me flight us 1500 on monday from charlotte to minneapolis please
atis_ground_service	Now show me ground transportation in Houston on monday afternoon on thursday evening on thursday and then on tuesday morning, show me road transportation.
atis_ground_service	Does tacoma airport offer transportation from the airport to the downtown area?
atis_flight	 i would like a flight traveling one way from phoenix to san diego on april first
atis_airfare	Which is the budget fare from Bruins to Salt Lake City?
atis_flight	 i need information on flights from toronto to san diego
atis_abbreviation	What is fare code h?
atis_ground_service	What is the ground transportation in Denver?
atis_flight	 give me the cheapest round trip flights from indianapolis to orlando around december twenty fifth
atis_flight	 which flights are available from tacoma to san jose in the morning on april twenty second
atis_ground_service	What is the best ground transportation in Baltimore?
atis_flight	 find flight from san jose to houston on wednesday
atis_abbreviation	 what does ua mean
atis_flight	 show me all the flights from charlotte to minneapolis on tuesday morning
atis_flight	 i need a flight from ontario to memphis
atis_flight	 list all us air flights arriving in charlotte on saturday at 1 pm
atis_ground_service	What's the ground transportation in the delhi city?
atis_airfare	What is the most expensive way to get from boston to salt lake city?
atis_ground_service	 what ground transportation is available between dca and downtown washington
atis_airfare	how much flights do you like and what is the cost to fly from detroit to St. Petersburg?
atis_flight	 which flights are available from san jose to nashville leaving in the morning on april twenty three
